Date,Team,Opponent,Location,Spread,Total (O/U),Moneyline,Score,MOV,ATS Margin,Combined,O/U Margin
2022-11-07,Miss Val St,Baylor,Away,45,144,3499,53-117,-64,-19,170,26
2022-11-07,Baylor,Miss Val St,Home,-45,144,-12972,117-53,64,19,170,26
2022-11-07,Lindenwood,Dayton,Away,31.5,137,1703,46-73,-27,4.5,119,-18
2022-11-07,Dayton,Lindenwood,Home,-31.5,137,-3979,73-46,27,-4.5,119,-18
2022-11-07,CS Fullerton,San Diego St,Away,23,136,1374,57-80,-23,0,137,1
2022-11-07,San Diego St,CS Fullerton,Home,-23,136,-2880,80-57,23,0,137,1
2022-11-07,Pacific,Stanford,Away,15,140,870,78-88,-10,5,166,26
2022-11-07,Stanford,Pacific,Home,-15,140,-1500,88-78,10,-5,166,26
2022-11-07,Coppin St,Charlotte,Away,10.5,141,462,59-82,-23,-12.5,141,0
2022-11-07,Charlotte,Coppin St,Home,-10.5,141,-654,82-59,23,12.5,141,0
2022-11-07,New Orleans,Butler,Away,18.5,142,1076,53-89,-36,-17.5,142,0
2022-11-07,Butler,New Orleans,Home,-18.5,142,-2018,89-53,36,17.5,142,0
2022-11-07,La Salle,Villanova,Away,15.5,137,842,68-81,-13,2.5,149,12
2022-11-07,Villanova,La Salle,Home,-15.5,137,-1432,81-68,13,-2.5,149,12
2022-11-07,IPFW,Michigan,Away,16,150,868,56-75,-19,-3,131,-19
2022-11-07,Michigan,IPFW,Home,-16,150,-1495,75-56,19,3,131,-19
2022-11-07,Howard,Kentucky,Away,25,148.5,1355,63-95,-32,-7,158,9.5
2022-11-07,Kentucky,Howard,Home,-25,148.5,-2819,95-63,32,7,158,9.5
2022-11-07,Merrimack,St Johns,Away,20.5,139.5,1126,72-97,-25,-4.5,169,29.5
2022-11-07,St Johns,Merrimack,Home,-20.5,139.5,-2152,97-72,25,4.5,169,29.5
2022-11-07,St Fran (PA),St Bonavent,Away,12,139,531,58-71,-13,-1,129,-10
2022-11-07,St Bonavent,St Fran (PA),Home,-12,139,-779,71-58,13,1,129,-10
2022-11-07,Air Force,Bowling Grn,Away,3.5,135,150,58-62,-4,-0.5,120,-15
2022-11-07,Bowling Grn,Air Force,Home,-3.5,135,-170,62-58,4,0.5,120,-15
2022-11-07,Marshall,Queens,Away,-5.5,167,-188,82-83,-1,-6.5,165,-2
2022-11-07,Queens,Marshall,Home,5.5,167,158,83-82,1,6.5,165,-2
2022-11-07,Brown,Vermont,Away,12.5,140,555,65-80,-15,-2.5,145,5
2022-11-07,Vermont,Brown,Home,-12.5,140,-824,80-65,15,2.5,145,5
2022-11-07,Navy,Wm & Mary,Away,-2,134,-129,74-59,15,13,133,-1
2022-11-07,Wm & Mary,Navy,Home,2,134,110,59-74,-15,-13,133,-1
2022-11-07,Quinnipiac,Rhode Island,Away,9.5,139.5,345,67-62,5,14.5,129,-10.5
2022-11-07,Rhode Island,Quinnipiac,Home,-9.5,139.5,-425,62-67,-5,-14.5,129,-10.5
2022-11-07,Manhattan,VCU,Away,22.5,133.5,1383,56-73,-17,5.5,129,-4.5
2022-11-07,VCU,Manhattan,Home,-22.5,133.5,-2907,73-56,17,-5.5,129,-4.5
2022-11-07,U Penn,Iona,Away,6,148,225,50-78,-28,-22,128,-20
2022-11-07,Iona,U Penn,Home,-6,148,-265,78-50,28,22,128,-20
2022-11-07,Maryland ES,Old Dominion,Away,11,128.5,469,65-84,-19,-8,149,20.5
2022-11-07,Old Dominion,Maryland ES,Home,-11,128.5,-666,84-65,19,8,149,20.5
2022-11-07,Albany,Towson,Away,16.5,132.5,872,62-67,-5,11.5,129,-3.5
2022-11-07,Towson,Albany,Home,-16.5,132.5,-1504,67-62,5,-11.5,129,-3.5
2022-11-07,Hsn Christian,Florida Intl,Away,13,158,522,66-77,-11,2,143,-15
2022-11-07,Florida Intl,Hsn Christian,Home,-13,158,-763,77-66,11,-2,143,-15
2022-11-07,Wagner,Temple,Away,16,132,882,76-73,3,19,149,17
2022-11-07,Temple,Wagner,Home,-16,132,-1528,73-76,-3,-19,149,17
2022-11-07,Kent St,N Kentucky,Away,1,137.5,-105,79-57,22,23,136,-1.5
2022-11-07,N Kentucky,Kent St,Home,-1,137.5,-115,57-79,-22,-23,136,-1.5
2022-11-07,Niagara,Maryland,Away,17,136.5,940,49-71,-22,-5,120,-16.5
2022-11-07,Maryland,Niagara,Home,-17,136.5,-1667,71-49,22,5,120,-16.5
