Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,1,11/4/24,,Maine,REG (Non-Conf),W,96,62,,35,63,0.556,11,29,0.379,24,34,0.706,0.643,15,20,0.75,10,29,39,17,10,3,12,18,21,57,0.368,3,14,0.214,18,43,0.419,0.395,17,18,0.944,6,18,24,4,9,0,13,19
duke,ACC,2,11/8/24,,Army,REG (Non-Conf),W,100,58,,35,71,0.493,17,38,0.447,18,33,0.545,0.613,13,18,0.722,14,32,46,19,8,6,8,13,21,64,0.328,8,29,0.276,13,35,0.371,0.391,8,9,0.889,8,21,29,11,7,2,12,15
duke,ACC,3,11/12/24,N,Kentucky,REG (Non-Conf),L,72,77,,28,71,0.394,4,24,0.167,24,47,0.511,0.423,12,17,0.706,10,32,42,12,6,6,7,19,25,63,0.397,10,25,0.4,15,38,0.395,0.476,17,24,0.708,8,27,35,17,4,8,10,18
duke,ACC,4,11/16/24,,Wofford,REG (Non-Conf),W,86,35,,30,62,0.484,16,38,0.421,14,24,0.583,0.613,10,11,0.909,14,28,42,24,11,3,10,10,14,57,0.246,5,33,0.152,9,24,0.375,0.289,2,3,0.667,10,17,27,9,7,0,15,12
duke,ACC,5,11/22/24,@,Arizona,REG (Non-Conf),W,69,55,,26,61,0.426,9,25,0.36,17,36,0.472,0.5,8,13,0.615,10,27,37,15,8,4,13,19,21,53,0.396,6,23,0.261,15,30,0.5,0.453,7,11,0.636,6,24,30,16,9,4,15,14
duke,ACC,6,11/26/24,N,Kansas,REG (Non-Conf),L,72,75,,24,48,0.5,11,26,0.423,13,22,0.591,0.615,13,18,0.722,3,19,22,17,11,3,16,18,28,57,0.491,8,17,0.471,20,40,0.5,0.561,11,12,0.917,7,17,24,22,12,4,15,14
duke,ACC,7,11/29/24,,Seattle,REG (Non-Conf),W,70,48,,23,58,0.397,10,36,0.278,13,22,0.591,0.483,14,19,0.737,10,32,42,18,12,4,13,22,10,47,0.213,4,19,0.211,6,28,0.214,0.255,24,31,0.774,7,24,31,6,6,0,15,18
duke,ACC,8,12/4/24,,Auburn,REG (Non-Conf),W,84,78,,29,58,0.5,9,22,0.409,20,36,0.556,0.578,17,27,0.63,12,22,34,11,7,4,4,14,29,64,0.453,10,25,0.4,19,39,0.487,0.531,10,12,0.833,12,22,34,17,4,3,8,20
duke,ACC,9,12/8/24,@,Louisville,REG (Conf),W,76,65,,28,62,0.452,8,30,0.267,20,32,0.625,0.516,12,14,0.857,9,26,35,14,7,3,5,18,19,51,0.373,11,31,0.355,8,20,0.4,0.48,16,21,0.762,8,26,34,10,4,1,14,16
duke,ACC,10,12/10/24,,Incarnate Word,REG (Non-Conf),W,72,46,,24,55,0.436,8,25,0.32,16,30,0.533,0.509,16,21,0.762,14,27,41,16,5,1,12,16,17,53,0.321,5,23,0.217,12,30,0.4,0.368,7,12,0.583,8,16,24,7,7,4,7,19
