feature,importance_A,gain_A,importance_B,gain_B,avg_importance,avg_gain
expected_possessions,279,1416007.8633422852,294,1906014.0346069336,286.5,1661010.9489746094
team_adj_d,60,77032.45336914062,430,1866705.5662231445,245.0,971869.0097961426
team_expected_points,422,5301488.942993164,49,75965.9873046875,235.5,2688727.465148926
opp_expected_points,35,51437.38153076172,385,2656812.8828125,210.0,1354125.1321716309
opp_adj_d,334,1802862.5663452148,74,106892.080078125,204.0,954877.3232116699
torvik_barthag_diff,146,914359.6259765625,179,4053154.8677978516,162.5,2483757.246887207
opp_pace_roll,199,402537.28759765625,87,109372.2406616211,143.0,255954.76412963867
pregame_total_projection,102,243846.55346679688,176,514732.3137207031,139.0,379289.43359375
team_PF_roll,134,162276.42510986328,127,148760.22595214844,130.5,155518.32553100586
prior_games,110,160455.33325195312,133,200694.92065429688,121.5,180575.126953125
team_STL_roll,83,91678.24365234375,139,187427.27362060547,111.0,139552.7586364746
team_ORB_roll,80,92737.1513671875,134,183234.99475097656,107.0,137986.07305908203
opp_3PA_roll,78,104032.87725830078,124,163839.53533935547,101.0,133936.20629882812
is_home,141,288146.2592163086,60,88266.8832397461,100.5,188206.57122802734
opp_STL_roll,125,167417.40301513672,71,83770.14514160156,98.0,125593.77407836914
team_FT%_roll,102,142445.60021972656,91,112006.69903564453,96.5,127226.14962768555
team_FGA_roll,108,141779.4393310547,83,102138.1162109375,95.5,121958.7777709961
opp_SOS_roll,109,134800.60522460938,80,100892.3978881836,94.5,117846.50155639648
opp_FT%_roll,96,121014.89825439453,90,110608.20574951172,93.0,115811.55200195312
opp_FGA_roll,84,113028.35833740234,101,148672.0073852539,92.5,130850.18286132812
torvik_adj_d_diff,112,235807.20178222656,70,110420.52374267578,91.0,173113.86276245117
opp_FTA_roll,79,100058.35522460938,101,123965.91845703125,90.0,112012.13684082031
torvik_adj_d_ratio,96,187856.96356201172,84,132378.0498046875,90.0,160117.5066833496
opp_TOV_roll,88,104926.99011230469,92,113915.80291748047,90.0,109421.39651489258
opp_ORB_roll,98,123787.16375732422,79,95121.3017578125,88.5,109454.23275756836
team_3PA_roll,118,159088.5703125,57,66884.19763183594,87.5,112986.38397216797
team_pace_roll,57,74872.23327636719,117,167228.5224609375,87.0,121050.37786865234
opp_FT_roll,94,123611.58697509766,78,88740.4028930664,86.0,106175.99493408203
team_3P%_roll,93,110139.47705078125,76,93684.76684570312,84.5,101912.12194824219
opp_TRB_roll,86,112676.68865966797,80,101491.92950439453,83.0,107084.30908203125
opp_3P%_roll,69,83169.98596191406,96,116741.81610107422,82.5,99955.90103149414
opp_2P_roll,77,96278.54974365234,85,107757.31311035156,81.0,102017.93142700195
opp_BLK_roll,109,141563.13189697266,50,56020.77001953125,79.5,98791.95095825195
opp_2P%_roll,80,106099.64178466797,78,97441.54772949219,79.0,101770.59475708008
opp_PF_roll,65,80654.66967773438,92,107471.34832763672,78.5,94063.00900268555
team_TOV_roll,71,95623.16003417969,85,104634.20477294922,78.0,100128.68240356445
opp_DRB_roll,65,77203.03820800781,90,111630.16522216797,77.5,94416.60171508789
team_BLK_roll,86,102787.84869384766,67,78125.05346679688,76.5,90456.45108032227
team_2P%_roll,85,105892.2582397461,67,74268.85321044922,76.0,90080.55572509766
opp_3P_roll,76,102275.62719726562,74,97642.8256225586,75.0,99959.22640991211
team_SOS_roll,70,80954.98162841797,79,95911.87329101562,74.5,88433.4274597168
opp_winpct_roll,89,149577.50579833984,56,67808.74072265625,72.5,108693.12326049805
delta_SOS_roll,78,96566.26080322266,63,73133.97479248047,70.5,84850.11779785156
team_AST_roll,81,103358.94250488281,60,71065.38305664062,70.5,87212.16278076172
team_DRB_roll,60,72865.44598388672,74,87552.4429321289,67.0,80208.94445800781
torvik_barthag_ratio,91,1316698.4232177734,38,73734.92553710938,64.5,695216.6743774414
team_winpct_roll,56,65655.10400390625,72,97355.28344726562,64.0,81505.19372558594
team_FG_roll,76,97032.75512695312,51,63665.057189941406,63.5,80348.90615844727
team_TRB_roll,76,90960.22161865234,50,62343.487854003906,63.0,76651.85473632812
opp_off_eff_roll,56,75561.79791259766,70,106594.53790283203,63.0,91078.16790771484
team_FT_roll,54,62411.06481933594,72,80493.00665283203,63.0,71452.03573608398
opp_def_eff_roll,77,100898.20666503906,46,52045.511962890625,61.5,76471.85931396484
opp_barthag,96,210429.04626464844,26,30851.603088378906,61.0,120640.32467651367
team_FTA_roll,71,83749.36315917969,51,53909.143127441406,61.0,68829.25314331055
opp_FG_roll,53,64617.16589355469,68,101339.22650146484,60.5,82978.19619750977
opp_2PA_roll,57,68204.70300292969,64,77583.48211669922,60.5,72894.09255981445
team_3P_roll,62,75502.4838256836,58,78883.52575683594,60.0,77193.00479125977
team_defensive_matchup,43,52662.228942871094,75,131868.91790771484,59.0,92265.57342529297
team_points_roll,81,268595.00860595703,35,39537.220703125,58.0,154066.11465454102
opp_points_roll,45,53575.67919921875,71,205322.56805419922,58.0,129449.12362670898
team_2P_roll,60,70206.07720947266,54,57772.811950683594,57.0,63989.444580078125
team_2PA_roll,51,58806.316650390625,62,68769.25354003906,56.5,63787.785095214844
delta_pace_roll,48,61721.72686767578,64,73571.27819824219,56.0,67646.50253295898
opp_AST_roll,58,71251.89086914062,50,59590.08093261719,54.0,65420.985900878906
team_offensive_matchup,62,118122.09130859375,43,56482.49328613281,52.5,87302.29229736328
team_matchup_advantage,49,54930.22033691406,56,66885.85913085938,52.5,60908.03973388672
torvik_rank_diff,43,538370.3416748047,60,146153.3094482422,51.5,342261.82556152344
team_rank,30,38366.63879394531,72,266862.572265625,51.0,152614.60552978516
team_barthag,29,34682.71112060547,70,197815.91333007812,49.5,116249.3122253418
opp_rank,74,185633.13165283203,25,31270.744018554688,49.5,108451.93783569336
opp_FG%_roll,55,71098.35473632812,40,46686.24279785156,47.5,58892.298767089844
opp_adj_o,35,41490.19805908203,57,94063.85815429688,46.0,67777.02810668945
team_off_eff_roll,48,64134.01379394531,44,54768.76104736328,46.0,59451.3874206543
opp_eFG%_roll,47,58487.63269042969,40,47351.15216064453,43.5,52919.39242553711
team_FG%_roll,36,45791.29382324219,48,55563.59729003906,42.0,50677.445556640625
team_eFG%_roll,54,70320.95819091797,30,34562.90985107422,42.0,52441.934020996094
