rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Houston,B12,35-5,124.69232186162563,11,87.34753529501563,1,0.9835925505269725,1,35.0,5.0,19.0,1.0,19-1,0.774116764646468,0.5591388723486166,0.8521094772007116,0.774116764646468,0.5591388723486166,0.8521094772007116,0.5857128683282042,0.7741366582770778,115.11587977243771,99.47067599474099,115.11587977243771,99.47067599474099,125.38001409029127,88.5981481822071,126.77966434991033,87.83982657449239,0.9855108490212354,21.0,0.01198302552487096,1442.0,1194.0,1251.45,1.1522633744855966,0.9540932518278796,0.0,0.95,11.536627473202778,2,146,61.781372199051006
2,Duke,ACC,35-4,130.56794291240607,1,92.01405731447704,4,0.9824406297612251,2,35.0,4.0,19.0,1.0,19-1,0.7025042440963449,0.64699095925333,0.6863394289437078,0.7025042440963449,0.64699095925333,0.6863394289437078,0.6693705844789724,0.6722800904314924,113.10636771460791,101.84153918673418,113.10636771460791,101.84153918673418,130.38761582018566,93.73577376518656,133.51503264212107,93.00614317150978,0.9845990921045836,16.0,0.0051217273682054865,1688.0,1254.0,1315.7250000000001,1.2829428642003458,0.953086701248361,0.0,0.95,9.474207527274045,5,166,65.96334886563854
3,Auburn,SEC,32-6,127.6825266097261,4,92.97366358504587,9,0.9746216413847232,3,32.0,6.0,15.0,3.0,15-3,0.8033842687225856,0.6614445140742501,0.8920018975383753,0.8033842687225856,0.6614445140742501,0.8920018975383753,0.5384893987025184,0.649187202586265,116.7513244530931,99.01010135915965,116.7513244530931,99.01010135915965,128.4313753366377,94.34899705605397,128.6943391022569,92.39274606336495,0.9783530085913927,27.0,0.057127728856314786,1492.0,1327.0,1262.35,1.181922604665901,1.0512140056244308,0.0,0.8333333333333334,12.70362265023234,1,48,68.28656149675673
4,Florida,SEC,36-4,127.78599984462653,2,94.1803317898358,13,0.9709476912152462,4,36.0,4.0,14.0,4.0,14-4,0.745286640340752,0.4629493532608672,0.8770100538384128,0.745286640340752,0.4629493532608672,0.8770100538384128,0.5947555823914437,0.8648593034541912,114.91313406728102,100.62328744593275,114.91313406728102,100.62328744593275,126.96345848729162,94.25812807691835,128.52683574606246,92.79907154003311,0.9769227994887935,21.0,0.10786252113425554,1483.0,1289.0,1253.575,1.1830165726023572,1.0282591787487785,0.0,0.7777777777777778,11.145701942109278,3,14,69.90386588570142
5,Alabama,SEC,28-9,127.73812802015213,3,96.62293440841964,26,0.9612241831494844,5,28.0,9.0,13.0,5.0,13-5,0.8318860305233342,0.7299686605373744,0.8887380001819438,0.8318860305233342,0.7299686605373744,0.8887380001819438,0.5247215345865773,0.6482169682612258,118.21670995106895,99.01851641135765,118.21670995106895,99.01851641135765,130.41095847106686,97.5504624602093,129.30410246920036,96.29619267701193,0.9673744417399577,25.0,0.05165352026154901,1657.0,1509.0,1384.85,1.1965194786438966,1.089648698414991,0.0,0.7222222222222222,10.117114002479212,4,58,75.0635759602493
6,Tennessee,SEC,30-8,120.15802827540173,18,91.87755578188614,3,0.9563130773072432,6,30.0,8.0,12.0,6.0,12-6,0.7568873351618205,0.5052652111322881,0.8890398396037621,0.7568873351618205,0.5052652111322881,0.8890398396037621,0.5773456087827563,0.8047090384645691,116.48596110925054,101.1047838363848,116.48596110925054,101.1047838363848,117.32800566166992,91.59526020073423,120.29526817473736,90.00927944243277,0.9656241356783958,24.0,0.07031889979846617,1270.0,1189.0,1167.6375,1.08766633479997,1.0182954898245389,0.0,0.6666666666666666,9.327841460875895,6,38,63.92098839085557
7,Texas Tech,B12,28-9,126.0632207939251,6,97.57687946363313,37,0.9500572087231287,7,28.0,9.0,15.0,5.0,15-5,0.7274266216567281,0.4450372137286498,0.8417281884222536,0.7274266216567281,0.4450372137286498,0.8417281884222536,0.6418913670462215,0.8815431660349516,112.74125880959896,100.44347307514153,112.74125880959896,100.44347307514153,125.95474766860409,96.0384837757271,124.36597082345833,95.48822544631801,0.9542875773616208,16.0,0.0014435868098480187,1565.0,1374.0,1343.6875,1.1647053351318666,1.022559188799479,0.0,0.75,5.835553865575807,11,175,66.13841342582178
8,Gonzaga,WCC,26-9,124.80106494854816,10,96.70850531475162,28,0.9494406823042969,8,26.0,9.0,14.0,4.0,14-4,0.6567236975994247,0.6622107354752443,0.5999408498791089,0.6567236975994247,0.6622107354752443,0.5999408498791089,0.7193291102373753,0.7129341595042461,111.20249880811745,103.02060565033663,111.20249880811745,103.02060565033663,124.68580862823364,99.46674449225108,124.24897788892196,95.09662676483549,0.9558509386242817,13.0,-0.07697716593176862,1583.0,1273.0,1271.9875000000004,1.2445090851914815,1.0007959983883485,0.0,0.7777777777777778,2.8147351477811986,32,332,70.5072170046024
9,Maryland,B10,27-9,118.62227119918654,24,92.09182023828873,5,0.9484031214618227,9,27.0,9.0,14.0,6.0,14-6,0.6955992475909782,0.3385831918512116,0.84634855859751,0.6955992475909782,0.3385831918512116,0.84634855859751,0.662248678312546,0.9079001581541459,112.78500832949511,102.68576211082939,112.78500832949511,102.68576211082939,117.94528662351732,92.23619911088807,120.57137839861247,94.27383437189894,0.9442461216997271,17.0,-0.02334587795814136,1554.0,1413.0,1414.5125000000003,1.098611712515796,0.9989307270172584,0.0,0.7,5.161789384837542,18,237,69.70541143052458
10,Arizona,B12,24-13,124.91773245708433,9,97.40572145418847,34,0.9458773396362176,10,24.0,13.0,14.0,6.0,14-6,0.7799883590045499,0.5727258373232019,0.8578363863938708,0.7799883590045499,0.5727258373232019,0.8578363863938708,0.5564532119335291,0.7078277905699631,115.56471610035464,99.36481912247577,115.56471610035464,99.36481912247577,124.7942523983565,97.51372520789099,121.73900175787762,95.21319897021817,0.944077936992548,22.0,-0.021503626717661928,1600.0,1490.0,1400.3374999999999,1.1425816990546922,1.0640292072446822,0.0,0.7,5.446122177944387,16,233,70.27484080284601
