feature,importance,gain
moneyline_a,0.19235016,0
moneyline_b,0.13991693,0
bet_spread,0.108435534,0
torvik_barthag_diff,0.012268471,0
torvik_barthag_ratio,0.0105847735,0
torvik_rank_diff,0.0091304565,0
is_home,0.0075888867,0
team_ORB_roll,0.0073081795,0
team_rank,0.0070774704,0
opp_ORB_roll,0.006886259,0
opp_DRB_roll,0.0068467488,0
team_adj_o,0.0067983833,0
team_AST_roll,0.0067772684,0
delta_SOS_roll,0.0067726118,0
opp_FG%_roll,0.006768522,0
team_barthag,0.0067505892,0
team_FG%_roll,0.0067326166,0
opp_pace_roll,0.006711483,0
team_FGA_roll,0.006703549,0
opp_rank,0.0066987057,0
team_2PA_roll,0.0066874106,0
team_BLK_roll,0.0066849366,0
team_eFG%_roll,0.006664688,0
opp_BLK_roll,0.006643157,0
team_FT_roll,0.0066384682,0
torvik_adj_d_ratio,0.0066366955,0
delta_pace_roll,0.0066240695,0
team_points_roll,0.0066192504,0
opp_SOS_roll,0.0066153393,0
torvik_adj_d_diff,0.0066041546,0
is_conf_game,0.0066015264,0
team_STL_roll,0.006596995,0
opp_off_eff_roll,0.0065953666,0
opp_barthag,0.006595325,0
team_PF_roll,0.0065948046,0
pregame_total_projection,0.00658074,0
opp_2PA_roll,0.006574122,0
opp_def_eff_roll,0.0065737544,0
torvik_adj_o_ratio,0.0065687057,0
opp_expected_points,0.0065669334,0
opp_FT%_roll,0.0065598604,0
team_SOS_roll,0.006553104,0
team_2P%_roll,0.006548304,0
team_TRB_roll,0.006544858,0
team_off_eff_roll,0.006544789,0
team_winpct_roll,0.0065395576,0
opp_eFG%_roll,0.006538409,0
opp_points_roll,0.0065352237,0
team_def_eff_roll,0.0065159844,0
team_expected_points,0.006490868,0
opp_FTA_roll,0.00647719,0
torvik_adj_o_diff,0.006476142,0
opp_FG_roll,0.0064585265,0
team_DRB_roll,0.0064578047,0
opp_adj_o,0.006454238,0
opp_PF_roll,0.006444853,0
opp_3P%_roll,0.006444069,0
team_3PA_roll,0.0064387345,0
opp_adj_d,0.006435162,0
expected_possessions,0.006428124,0
opp_STL_roll,0.0064167003,0
team_3P_roll,0.006412813,0
team_2P_roll,0.0063917655,0
opp_FGA_roll,0.0063687884,0
team_3P%_roll,0.006344678,0
opp_2P_roll,0.006340204,0
opp_3P_roll,0.006333442,0
opp_FT_roll,0.0063297413,0
prior_games,0.006325073,0
team_offensive_matchup,0.006323638,0
team_FT%_roll,0.0063027763,0
opp_TOV_roll,0.0062996163,0
team_pace_roll,0.006298791,0
team_adj_d,0.006295844,0
team_FG_roll,0.006295183,0
team_TOV_roll,0.0062924456,0
opp_TRB_roll,0.006251201,0
opp_AST_roll,0.0062486804,0
pregame_margin_projection,0.0062439907,0
team_matchup_advantage,0.0062360545,0
is_neutral,0.006182347,0
opp_3PA_roll,0.0061591463,0
team_FTA_roll,0.0061569368,0
opp_2P%_roll,0.006155878,0
team_defensive_matchup,0.0059511014,0
opp_winpct_roll,0.005919027,0
bet_total,0.0058642766,0
