feature,importance,gain
moneyline_b,0.30782694,0
moneyline_a,0.16955392,0
bet_spread,0.09788836,0
torvik_barthag_diff,0.007752041,0
torvik_rank_diff,0.006052791,0
is_home,0.005918977,0
torvik_adj_o_diff,0.005798291,0
torvik_adj_d_ratio,0.0056594484,0
opp_ORB_roll,0.0055920095,0
opp_barthag,0.005588829,0
torvik_adj_d_diff,0.00554828,0
is_conf_game,0.0055292128,0
torvik_adj_o_ratio,0.0054975045,0
opp_off_eff_roll,0.005459341,0
team_adj_d,0.005438476,0
opp_eFG%_roll,0.005416656,0
opp_adj_d,0.0054110344,0
team_barthag,0.0054037613,0
torvik_barthag_ratio,0.005399972,0
team_offensive_matchup,0.0053364034,0
team_expected_points,0.005331551,0
team_def_eff_roll,0.0053214254,0
opp_winpct_roll,0.0053045438,0
opp_FT%_roll,0.0052966825,0
team_defensive_matchup,0.005261389,0
team_rank,0.005253173,0
opp_2P_roll,0.005238894,0
expected_possessions,0.005219999,0
team_ORB_roll,0.0052146595,0
opp_3P%_roll,0.005213059,0
team_eFG%_roll,0.005191492,0
team_adj_o,0.0051882374,0
team_AST_roll,0.005185955,0
team_TRB_roll,0.0051850975,0
opp_TRB_roll,0.0051827324,0
opp_STL_roll,0.0051811053,0
team_SOS_roll,0.0051716496,0
opp_def_eff_roll,0.0051648854,0
pregame_margin_projection,0.0051631117,0
opp_2PA_roll,0.0051614176,0
team_matchup_advantage,0.005160461,0
opp_3PA_roll,0.0051598996,0
opp_2P%_roll,0.0051486213,0
opp_SOS_roll,0.0051380377,0
delta_pace_roll,0.0051332745,0
bet_total,0.0051197708,0
opp_AST_roll,0.0051165656,0
team_off_eff_roll,0.0051028333,0
team_PF_roll,0.0050815674,0
opp_adj_o,0.0050806855,0
delta_SOS_roll,0.0050798883,0
opp_BLK_roll,0.005071806,0
opp_expected_points,0.0050642784,0
opp_FTA_roll,0.005054534,0
team_winpct_roll,0.0050474238,0
team_STL_roll,0.005035918,0
team_2P%_roll,0.0050299023,0
opp_DRB_roll,0.005029315,0
team_pace_roll,0.005026536,0
pregame_total_projection,0.0050146854,0
opp_pace_roll,0.005013437,0
opp_PF_roll,0.0049930024,0
opp_TOV_roll,0.0049326923,0
opp_FGA_roll,0.004930061,0
team_3PA_roll,0.0049097687,0
opp_FG%_roll,0.004903423,0
opp_3P_roll,0.004898379,0
opp_FT_roll,0.004873577,0
opp_FG_roll,0.00486514,0
team_FTA_roll,0.0048554717,0
opp_rank,0.004825942,0
team_3P%_roll,0.004774041,0
team_FT%_roll,0.004772132,0
team_DRB_roll,0.0047598537,0
team_BLK_roll,0.0047235102,0
opp_points_roll,0.0047217007,0
team_2PA_roll,0.0047006076,0
team_TOV_roll,0.004658147,0
team_2P_roll,0.004601951,0
team_FT_roll,0.004473175,0
is_neutral,0.0044569317,0
team_3P_roll,0.0042327275,0
team_FG%_roll,0.004215426,0
team_FGA_roll,0.003959802,0
team_FG_roll,0.0035573272,0
prior_games,0.0026197077,0
team_points_roll,0.0025728038,0
