feature,importance,gain
bet_total,0.1777449,0
expected_possessions,0.049868032,0
pregame_total_projection,0.034054082,0
opp_adj_d,0.013775737,0
team_adj_d,0.013083588,0
team_expected_points,0.010252218,0
is_neutral,0.009965217,0
team_barthag,0.0097984,0
team_PF_roll,0.009695232,0
team_defensive_matchup,0.009620209,0
torvik_rank_diff,0.009446917,0
opp_PF_roll,0.00932776,0
torvik_barthag_ratio,0.009299454,0
opp_pace_roll,0.009221538,0
torvik_adj_o_ratio,0.009215959,0
team_offensive_matchup,0.0091442,0
team_rank,0.009140501,0
opp_barthag,0.009123878,0
opp_2P%_roll,0.009082311,0
moneyline_a,0.0090338625,0
team_def_eff_roll,0.009031196,0
opp_TRB_roll,0.009030001,0
team_off_eff_roll,0.009025787,0
opp_expected_points,0.009024847,0
opp_eFG%_roll,0.009019024,0
opp_2PA_roll,0.008975523,0
torvik_barthag_diff,0.008968891,0
moneyline_b,0.008962951,0
team_FT%_roll,0.008910631,0
delta_pace_roll,0.008887313,0
opp_FG%_roll,0.00888529,0
opp_3PA_roll,0.008873834,0
opp_2P_roll,0.008866171,0
opp_adj_o,0.008861829,0
opp_BLK_roll,0.008858393,0
opp_FGA_roll,0.008852426,0
team_adj_o,0.008848955,0
team_matchup_advantage,0.008841817,0
opp_rank,0.008837322,0
is_home,0.008813438,0
opp_AST_roll,0.008806489,0
opp_SOS_roll,0.00879569,0
opp_ORB_roll,0.008783731,0
opp_FTA_roll,0.008776062,0
opp_def_eff_roll,0.008758501,0
opp_DRB_roll,0.008740253,0
opp_TOV_roll,0.0087155625,0
opp_3P_roll,0.008708593,0
team_STL_roll,0.008689054,0
opp_winpct_roll,0.00868069,0
delta_SOS_roll,0.00866326,0
team_AST_roll,0.008655616,0
team_eFG%_roll,0.008629442,0
torvik_adj_o_diff,0.008627781,0
team_pace_roll,0.008627703,0
torvik_adj_d_ratio,0.008611972,0
pregame_margin_projection,0.008607954,0
team_TOV_roll,0.008554366,0
bet_spread,0.008554119,0
opp_3P%_roll,0.008548829,0
opp_off_eff_roll,0.008546127,0
team_SOS_roll,0.008536175,0
team_2P_roll,0.008535961,0
team_winpct_roll,0.008532488,0
team_2P%_roll,0.008515111,0
opp_FT%_roll,0.008510415,0
opp_FG_roll,0.008468672,0
team_BLK_roll,0.008468254,0
team_ORB_roll,0.008452984,0
opp_points_roll,0.00842432,0
team_TRB_roll,0.0084110275,0
torvik_adj_d_diff,0.008387173,0
opp_STL_roll,0.0083781155,0
team_2PA_roll,0.008322871,0
opp_FT_roll,0.0083089955,0
team_FT_roll,0.0082248235,0
team_FTA_roll,0.008149993,0
is_conf_game,0.008122307,0
team_DRB_roll,0.008105604,0
team_3P%_roll,0.008056447,0
team_3PA_roll,0.007962065,0
team_3P_roll,0.0076204496,0
team_FG%_roll,0.007501494,0
team_FGA_roll,0.0073133204,0
team_FG_roll,0.007220998,0
prior_games,0.0066002295,0
team_points_roll,0.0065183234,0
