feature,importance,gain
moneyline_b,0.122677416,0
bet_spread,0.0840222,0
moneyline_a,0.07985416,0
torvik_barthag_diff,0.019925293,0
torvik_rank_diff,0.016922105,0
torvik_adj_o_ratio,0.010320938,0
team_def_eff_roll,0.009827137,0
team_TRB_roll,0.009645065,0
torvik_adj_o_diff,0.009534426,0
torvik_barthag_ratio,0.009368657,0
pregame_margin_projection,0.009344437,0
team_expected_points,0.009256324,0
team_FGA_roll,0.009254809,0
opp_off_eff_roll,0.00923947,0
team_2P_roll,0.009215868,0
team_adj_o,0.009126144,0
opp_points_roll,0.009125389,0
opp_3P%_roll,0.00907241,0
torvik_adj_d_ratio,0.008986602,0
opp_FG_roll,0.008976299,0
opp_AST_roll,0.008965712,0
team_eFG%_roll,0.00893649,0
opp_BLK_roll,0.008894866,0
opp_def_eff_roll,0.008891012,0
team_points_roll,0.008850885,0
team_winpct_roll,0.0088496525,0
opp_FGA_roll,0.008815737,0
delta_pace_roll,0.008765569,0
team_2PA_roll,0.008734858,0
torvik_adj_d_diff,0.008713022,0
opp_TOV_roll,0.008680014,0
team_2P%_roll,0.008672869,0
team_FG%_roll,0.008666917,0
team_PF_roll,0.008662125,0
team_TOV_roll,0.008659429,0
team_AST_roll,0.008654878,0
opp_rank,0.008631264,0
is_neutral,0.00862712,0
team_off_eff_roll,0.008624761,0
opp_2P_roll,0.008615125,0
opp_ORB_roll,0.008610215,0
team_offensive_matchup,0.00859857,0
opp_FT%_roll,0.00858175,0
opp_barthag,0.008566221,0
team_FT_roll,0.00852004,0
opp_3P_roll,0.008517267,0
team_DRB_roll,0.008513779,0
team_FT%_roll,0.008507253,0
team_ORB_roll,0.008502808,0
team_STL_roll,0.008498905,0
team_pace_roll,0.008489206,0
opp_2P%_roll,0.0084609045,0
opp_PF_roll,0.008453441,0
opp_FG%_roll,0.008443619,0
pregame_total_projection,0.008373758,0
team_FTA_roll,0.008368805,0
team_FG_roll,0.008350498,0
opp_eFG%_roll,0.00834918,0
expected_possessions,0.008330456,0
opp_FTA_roll,0.008330248,0
opp_pace_roll,0.008290654,0
team_adj_d,0.008276019,0
team_BLK_roll,0.008266753,0
team_matchup_advantage,0.008257616,0
team_defensive_matchup,0.008221338,0
opp_DRB_roll,0.0082124695,0
opp_adj_d,0.008183154,0
team_3P%_roll,0.0081749875,0
opp_FT_roll,0.008119501,0
bet_total,0.008106022,0
team_rank,0.008097957,0
opp_STL_roll,0.008053876,0
opp_adj_o,0.008008104,0
opp_winpct_roll,0.007997305,0
opp_TRB_roll,0.007970941,0
is_home,0.007970756,0
team_3PA_roll,0.007950146,0
opp_2PA_roll,0.007907129,0
opp_3PA_roll,0.007907102,0
team_barthag,0.007900139,0
opp_expected_points,0.007896926,0
team_3P_roll,0.0076104263,0
prior_games,0.0074645844,0
is_conf_game,0.0071817143,0
