feature,importance,gain
moneyline_b,0.29342481,0
bet_spread,0.11160759,0
moneyline_a,0.08442419,0
torvik_barthag_ratio,0.011692749,0
torvik_rank_diff,0.009990243,0
torvik_adj_o_diff,0.008102114,0
team_def_eff_roll,0.00800099,0
opp_barthag,0.007643701,0
team_barthag,0.0074530863,0
torvik_barthag_diff,0.007094733,0
torvik_adj_o_ratio,0.0070888232,0
team_expected_points,0.0070016873,0
opp_TOV_roll,0.00699332,0
pregame_total_projection,0.0069883373,0
opp_rank,0.006966826,0
opp_3PA_roll,0.0069554895,0
torvik_adj_d_ratio,0.0069309375,0
opp_FT%_roll,0.006790005,0
is_home,0.006756247,0
pregame_margin_projection,0.0067472677,0
opp_def_eff_roll,0.006744463,0
opp_PF_roll,0.006732454,0
opp_2P_roll,0.006674182,0
opp_FGA_roll,0.006645503,0
opp_adj_d,0.006625962,0
team_adj_d,0.006603752,0
team_matchup_advantage,0.006587387,0
expected_possessions,0.0065588765,0
opp_FTA_roll,0.00653582,0
team_off_eff_roll,0.0065345154,0
team_adj_o,0.0065325326,0
opp_pace_roll,0.006532305,0
team_defensive_matchup,0.006522011,0
opp_3P_roll,0.006473926,0
team_ORB_roll,0.0064476044,0
team_winpct_roll,0.006440737,0
team_offensive_matchup,0.00642942,0
opp_eFG%_roll,0.00640547,0
opp_2PA_roll,0.0063915583,0
team_rank,0.006364357,0
opp_3P%_roll,0.006356142,0
bet_total,0.00634091,0
opp_AST_roll,0.006335591,0
opp_STL_roll,0.006327269,0
team_pace_roll,0.006292937,0
team_PF_roll,0.0062830606,0
delta_pace_roll,0.006261912,0
torvik_adj_d_diff,0.006256737,0
team_2PA_roll,0.006242847,0
team_STL_roll,0.0062252027,0
team_eFG%_roll,0.0061980383,0
team_TRB_roll,0.0061746235,0
opp_FG%_roll,0.00614218,0
opp_DRB_roll,0.0060753953,0
opp_adj_o,0.0060617896,0
opp_ORB_roll,0.0060301092,0
opp_2P%_roll,0.0060180007,0
opp_BLK_roll,0.0060017505,0
opp_expected_points,0.005977718,0
opp_off_eff_roll,0.005974654,0
opp_points_roll,0.0059603015,0
team_AST_roll,0.005938666,0
team_FTA_roll,0.005920846,0
is_conf_game,0.0058456957,0
is_neutral,0.005841707,0
team_3PA_roll,0.0058392133,0
team_TOV_roll,0.0058293208,0
team_2P%_roll,0.0058036363,0
opp_FT_roll,0.005782016,0
opp_winpct_roll,0.005774858,0
team_2P_roll,0.0057663145,0
team_BLK_roll,0.0057471264,0
team_FT_roll,0.0056962273,0
opp_FG_roll,0.0055253855,0
team_3P%_roll,0.005513434,0
opp_TRB_roll,0.005416608,0
team_DRB_roll,0.0054091406,0
team_FT%_roll,0.005214586,0
team_3P_roll,0.0050700963,0
team_FG%_roll,0.0049035978,0
team_FGA_roll,0.0045744115,0
team_FG_roll,0.004133179,0
team_points_roll,0.00285019,0
prior_games,0.0026306158,0
