feature,importance,gain
bet_total,0.123958476,0
expected_possessions,0.03252513,0
pregame_total_projection,0.029070353,0
team_expected_points,0.014581563,0
opp_adj_d,0.013223625,0
opp_expected_points,0.012296993,0
opp_pace_roll,0.011866773,0
team_adj_d,0.01173873,0
opp_FTA_roll,0.011493064,0
is_home,0.011452509,0
team_def_eff_roll,0.011323982,0
opp_barthag,0.011301289,0
team_defensive_matchup,0.011246708,0
torvik_adj_o_diff,0.011142392,0
delta_pace_roll,0.011085824,0
opp_rank,0.010980598,0
torvik_barthag_ratio,0.010973757,0
opp_PF_roll,0.010947573,0
torvik_adj_d_ratio,0.010921237,0
opp_STL_roll,0.010913874,0
opp_TRB_roll,0.010888582,0
torvik_adj_o_ratio,0.010886019,0
opp_adj_o,0.0108830705,0
opp_FG_roll,0.010843522,0
team_TOV_roll,0.010640162,0
team_off_eff_roll,0.010632175,0
opp_3PA_roll,0.010502623,0
opp_FT_roll,0.010483198,0
opp_FG%_roll,0.010476718,0
team_adj_o,0.0104325535,0
opp_2P%_roll,0.0104030995,0
team_winpct_roll,0.010375706,0
opp_2PA_roll,0.010374663,0
opp_3P%_roll,0.010327887,0
team_barthag,0.010326117,0
team_STL_roll,0.010312406,0
opp_off_eff_roll,0.010291164,0
moneyline_a,0.0102819195,0
team_2PA_roll,0.010251153,0
opp_FT%_roll,0.010218342,0
team_BLK_roll,0.010207996,0
opp_eFG%_roll,0.010198331,0
team_offensive_matchup,0.010163084,0
team_TRB_roll,0.010135153,0
torvik_rank_diff,0.010048389,0
opp_TOV_roll,0.010046466,0
pregame_margin_projection,0.010011699,0
opp_winpct_roll,0.0100072045,0
opp_2P_roll,0.010004282,0
opp_FGA_roll,0.009998974,0
team_FTA_roll,0.009949311,0
opp_DRB_roll,0.009921812,0
torvik_barthag_diff,0.009902076,0
opp_AST_roll,0.009868134,0
opp_BLK_roll,0.009864854,0
team_AST_roll,0.0098614935,0
moneyline_b,0.009845915,0
team_pace_roll,0.009823069,0
torvik_adj_d_diff,0.009707522,0
team_DRB_roll,0.009595627,0
team_PF_roll,0.009588724,0
team_matchup_advantage,0.009587334,0
opp_3P_roll,0.0095871035,0
team_ORB_roll,0.009569944,0
opp_def_eff_roll,0.00953277,0
team_FT%_roll,0.009493946,0
opp_points_roll,0.009481312,0
team_3PA_roll,0.009372142,0
bet_spread,0.009331679,0
team_eFG%_roll,0.00929492,0
is_conf_game,0.00921298,0
team_2P%_roll,0.009151941,0
team_2P_roll,0.009138734,0
team_3P%_roll,0.009068145,0
opp_ORB_roll,0.008973618,0
team_FT_roll,0.008905155,0
team_rank,0.008756897,0
is_neutral,0.008514908,0
team_FGA_roll,0.008309109,0
team_3P_roll,0.0074369633,0
team_FG_roll,0.007343259,0
team_FG%_roll,0.0073117116,0
team_points_roll,0.00609579,0
prior_games,0.0049040318,0
