feature,importance,gain
torvik_barthag_diff,0.18752347,0
torvik_barthag_ratio,0.11429865,0
torvik_rank_diff,0.08339404,0
is_home,0.02011782,0
torvik_adj_d_diff,0.017367506,0
is_neutral,0.013501459,0
torvik_adj_o_diff,0.012325229,0
team_rank,0.011875497,0
team_matchup_advantage,0.010741053,0
team_barthag,0.010055084,0
opp_barthag,0.010028183,0
torvik_adj_d_ratio,0.009430695,0
pregame_margin_projection,0.0086658895,0
team_ORB_roll,0.008643744,0
opp_rank,0.008531009,0
is_conf_game,0.008168257,0
team_expected_points,0.008099671,0
torvik_adj_o_ratio,0.007953239,0
opp_ORB_roll,0.007741619,0
team_adj_o,0.007722371,0
team_winpct_roll,0.007707919,0
opp_off_eff_roll,0.007581444,0
team_offensive_matchup,0.007532127,0
opp_adj_o,0.0075174854,0
team_off_eff_roll,0.0073994705,0
team_AST_roll,0.00737264,0
opp_BLK_roll,0.007368539,0
delta_pace_roll,0.007345847,0
opp_3P%_roll,0.0073336596,0
opp_STL_roll,0.0072372598,0
team_STL_roll,0.0072233183,0
opp_DRB_roll,0.007204914,0
opp_adj_d,0.007115663,0
team_defensive_matchup,0.007095707,0
team_BLK_roll,0.0070812344,0
opp_AST_roll,0.0070743477,0
team_2P_roll,0.007057509,0
team_3P%_roll,0.007031155,0
opp_TOV_roll,0.00699231,0
team_FG%_roll,0.006983613,0
team_FT_roll,0.006953665,0
delta_SOS_roll,0.006923352,0
opp_SOS_roll,0.006919208,0
team_FGA_roll,0.006908985,0
opp_points_roll,0.006904444,0
team_DRB_roll,0.006902411,0
opp_eFG%_roll,0.0069003,0
expected_possessions,0.0068978793,0
team_2PA_roll,0.006839133,0
opp_3P_roll,0.006837462,0
team_FG_roll,0.006831159,0
team_def_eff_roll,0.006815455,0
team_pace_roll,0.006813976,0
team_points_roll,0.0068125753,0
opp_FG_roll,0.0067958604,0
team_2P%_roll,0.006774894,0
opp_PF_roll,0.006774557,0
team_adj_d,0.006768463,0
opp_3PA_roll,0.006759409,0
opp_2P_roll,0.0067340815,0
team_3P_roll,0.006732988,0
team_TRB_roll,0.006732176,0
team_TOV_roll,0.0067296545,0
team_3PA_roll,0.0067277933,0
opp_pace_roll,0.006726225,0
opp_2P%_roll,0.00671287,0
opp_FT%_roll,0.0067116227,0
team_SOS_roll,0.006700472,0
team_PF_roll,0.0066884873,0
pregame_total_projection,0.006684599,0
team_eFG%_roll,0.0066353916,0
opp_winpct_roll,0.006631768,0
opp_FGA_roll,0.006611566,0
opp_2PA_roll,0.006586326,0
opp_FG%_roll,0.0065778624,0
opp_expected_points,0.0065088435,0
team_FT%_roll,0.0065054507,0
opp_FTA_roll,0.006474446,0
opp_FT_roll,0.006470232,0
team_FTA_roll,0.0064688683,0
prior_games,0.006423351,0
opp_def_eff_roll,0.0064000273,0
opp_TRB_roll,0.006251075,0
