feature,importance,gain
torvik_barthag_diff,0.28055313,0
torvik_rank_diff,0.10983369,0
torvik_barthag_ratio,0.037059154,0
torvik_adj_o_ratio,0.028173916,0
is_home,0.024616128,0
is_neutral,0.013253693,0
torvik_adj_d_diff,0.012525035,0
team_rank,0.011299546,0
team_barthag,0.01129322,0
opp_barthag,0.00975105,0
is_conf_game,0.009664259,0
torvik_adj_d_ratio,0.009071619,0
torvik_adj_o_diff,0.008751092,0
team_adj_o,0.008117315,0
opp_rank,0.0077707153,0
team_off_eff_roll,0.007767138,0
opp_off_eff_roll,0.007358838,0
team_winpct_roll,0.007213844,0
team_defensive_matchup,0.007178292,0
pregame_margin_projection,0.007112712,0
team_expected_points,0.0071025863,0
team_ORB_roll,0.0069732047,0
pregame_total_projection,0.006939665,0
team_offensive_matchup,0.006881128,0
opp_expected_points,0.00685616,0
opp_2P%_roll,0.0067746155,0
opp_ORB_roll,0.006708144,0
opp_3P%_roll,0.006707804,0
opp_winpct_roll,0.0066410834,0
team_AST_roll,0.006555867,0
opp_STL_roll,0.0065136426,0
opp_AST_roll,0.006491038,0
opp_adj_o,0.006476426,0
team_pace_roll,0.006458619,0
opp_pace_roll,0.006445575,0
delta_pace_roll,0.0064432537,0
opp_eFG%_roll,0.0063967886,0
opp_adj_d,0.0063855588,0
opp_SOS_roll,0.0063838502,0
expected_possessions,0.006373636,0
team_2P%_roll,0.0062979977,0
team_TRB_roll,0.006282981,0
team_STL_roll,0.006267555,0
team_adj_d,0.006255705,0
opp_TRB_roll,0.006253453,0
team_3PA_roll,0.0062490175,0
team_def_eff_roll,0.0062221275,0
opp_FTA_roll,0.006218901,0
opp_def_eff_roll,0.006194368,0
opp_TOV_roll,0.006189215,0
opp_2P_roll,0.006176894,0
opp_3PA_roll,0.0061761504,0
team_eFG%_roll,0.006148808,0
opp_FT_roll,0.0061260653,0
team_matchup_advantage,0.006110827,0
opp_BLK_roll,0.006086631,0
opp_FT%_roll,0.0060825245,0
opp_2PA_roll,0.00605733,0
opp_FG%_roll,0.0060567004,0
delta_SOS_roll,0.0060508563,0
opp_PF_roll,0.0060339053,0
team_TOV_roll,0.006020129,0
opp_3P_roll,0.006009494,0
opp_FG_roll,0.005997219,0
team_SOS_roll,0.005927121,0
team_FTA_roll,0.0059187384,0
team_3P%_roll,0.0058560595,0
team_BLK_roll,0.005793936,0
opp_points_roll,0.0057833064,0
team_DRB_roll,0.005764437,0
opp_FGA_roll,0.0057517653,0
team_FT%_roll,0.0057345666,0
team_2P_roll,0.00567359,0
team_PF_roll,0.0056502805,0
opp_DRB_roll,0.0056380453,0
team_2PA_roll,0.0055912533,0
team_FT_roll,0.005559273,0
team_3P_roll,0.005155977,0
team_FG%_roll,0.005117,0
team_FGA_roll,0.0050714575,0
team_FG_roll,0.0043037985,0
prior_games,0.0037043996,0
team_points_roll,0.0035670763,0
