feature,importance,gain
expected_possessions,0.10443677,0
pregame_total_projection,0.08132338,0
team_adj_d,0.026476165,0
team_expected_points,0.026195036,0
opp_adj_d,0.023673443,0
opp_pace_roll,0.017820025,0
opp_expected_points,0.016569551,0
team_offensive_matchup,0.016364532,0
team_pace_roll,0.013967445,0
team_defensive_matchup,0.013427243,0
team_barthag,0.013221101,0
is_neutral,0.012735513,0
opp_rank,0.012682676,0
team_rank,0.012490888,0
opp_barthag,0.011073533,0
is_home,0.010442018,0
prior_games,0.010359886,0
opp_STL_roll,0.010095285,0
opp_3PA_roll,0.010079323,0
team_TOV_roll,0.009861608,0
team_PF_roll,0.009775292,0
opp_FG_roll,0.009652514,0
opp_3P_roll,0.0096244225,0
opp_FGA_roll,0.009567056,0
team_FT%_roll,0.009557959,0
team_adj_o,0.009526647,0
team_STL_roll,0.00939972,0
team_off_eff_roll,0.009396906,0
team_points_roll,0.009385802,0
opp_TOV_roll,0.009352254,0
opp_points_roll,0.009346246,0
torvik_barthag_ratio,0.009231995,0
opp_adj_o,0.009213498,0
team_3PA_roll,0.00920392,0
opp_off_eff_roll,0.0091684135,0
opp_winpct_roll,0.009032153,0
opp_FT%_roll,0.009006976,0
opp_TRB_roll,0.008950187,0
opp_PF_roll,0.008870874,0
team_BLK_roll,0.008844262,0
opp_BLK_roll,0.008840242,0
team_winpct_roll,0.008837386,0
opp_FTA_roll,0.00880681,0
opp_2PA_roll,0.008786026,0
team_TRB_roll,0.008768332,0
torvik_adj_o_ratio,0.008759684,0
torvik_rank_diff,0.008738015,0
torvik_adj_d_ratio,0.0087176785,0
team_matchup_advantage,0.008711931,0
torvik_adj_o_diff,0.008691508,0
team_def_eff_roll,0.008683209,0
team_2P%_roll,0.0086534005,0
opp_2P%_roll,0.008642855,0
opp_SOS_roll,0.008636099,0
opp_FT_roll,0.008575447,0
team_eFG%_roll,0.008572025,0
opp_ORB_roll,0.008550159,0
delta_pace_roll,0.008540646,0
opp_DRB_roll,0.008495605,0
torvik_barthag_diff,0.008490136,0
delta_SOS_roll,0.008487382,0
team_SOS_roll,0.00847965,0
torvik_adj_d_diff,0.008467249,0
is_conf_game,0.008433953,0
opp_def_eff_roll,0.008431921,0
opp_AST_roll,0.008399837,0
opp_3P%_roll,0.008387234,0
team_DRB_roll,0.008336786,0
team_FTA_roll,0.00832312,0
team_AST_roll,0.008320361,0
team_3P_roll,0.008306512,0
team_ORB_roll,0.0082865255,0
opp_eFG%_roll,0.008279926,0
opp_FG%_roll,0.008224616,0
opp_2P_roll,0.008160103,0
team_3P%_roll,0.007940724,0
team_FT_roll,0.007910001,0
team_FGA_roll,0.007908698,0
pregame_margin_projection,0.0077942545,0
team_2PA_roll,0.0077746008,0
team_2P_roll,0.0076792096,0
team_FG_roll,0.0076482208,0
team_FG%_roll,0.0071194186,0
