feature,importance,gain
torvik_barthag_diff,0.20131198,0
torvik_rank_diff,0.108664386,0
torvik_barthag_ratio,0.09178675,0
torvik_adj_o_diff,0.021263162,0
is_home,0.019690735,0
is_neutral,0.013336827,0
torvik_adj_d_diff,0.013237296,0
pregame_margin_projection,0.010883894,0
team_rank,0.01026418,0
opp_barthag,0.01011616,0
team_barthag,0.009375511,0
torvik_adj_o_ratio,0.009224514,0
torvik_adj_d_ratio,0.009206278,0
opp_rank,0.0090101715,0
team_ORB_roll,0.008734665,0
team_expected_points,0.008455199,0
team_adj_o,0.00802511,0
opp_off_eff_roll,0.007862256,0
is_conf_game,0.007760752,0
opp_ORB_roll,0.0077232076,0
team_offensive_matchup,0.0076659378,0
team_points_roll,0.0075540454,0
team_winpct_roll,0.007526356,0
opp_BLK_roll,0.0075080753,0
opp_adj_o,0.0074163214,0
opp_DRB_roll,0.007346393,0
team_AST_roll,0.0073104533,0
team_STL_roll,0.0072821276,0
opp_adj_d,0.0072643207,0
delta_pace_roll,0.007245381,0
opp_AST_roll,0.0072341696,0
team_3P%_roll,0.0071964865,0
team_off_eff_roll,0.007141113,0
team_defensive_matchup,0.0071291756,0
opp_STL_roll,0.0071152,0
opp_expected_points,0.007094507,0
opp_3P_roll,0.007080246,0
opp_TOV_roll,0.0070674852,0
opp_3P%_roll,0.0070480634,0
team_FT_roll,0.007015354,0
team_FGA_roll,0.007014179,0
team_2P_roll,0.007009915,0
opp_pace_roll,0.00697422,0
team_eFG%_roll,0.0069630016,0
team_FG_roll,0.0069571584,0
opp_eFG%_roll,0.006937829,0
opp_FG_roll,0.006893875,0
pregame_total_projection,0.006884776,0
opp_winpct_roll,0.006867204,0
team_TRB_roll,0.006865332,0
opp_FT%_roll,0.006853571,0
opp_points_roll,0.006838739,0
team_FG%_roll,0.0068274923,0
team_BLK_roll,0.0068237376,0
opp_3PA_roll,0.006815389,0
opp_PF_roll,0.0068108463,0
team_FTA_roll,0.0068015046,0
team_matchup_advantage,0.006760555,0
opp_def_eff_roll,0.0067526367,0
team_2P%_roll,0.006721496,0
team_PF_roll,0.0067202975,0
team_2PA_roll,0.006655477,0
team_adj_d,0.006651919,0
team_TOV_roll,0.0066490253,0
team_3P_roll,0.0066407733,0
opp_FGA_roll,0.0066354875,0
opp_FTA_roll,0.0066334526,0
prior_games,0.006624886,0
opp_2P_roll,0.0066207154,0
opp_2PA_roll,0.00661628,0
team_DRB_roll,0.0065979497,0
team_pace_roll,0.0065976577,0
team_3PA_roll,0.0065885186,0
team_FT%_roll,0.0065489737,0
team_def_eff_roll,0.0065209167,0
expected_possessions,0.006497992,0
opp_FT_roll,0.0064597116,0
opp_2P%_roll,0.006429288,0
opp_FG%_roll,0.006417626,0
opp_TRB_roll,0.006345336,0
