feature,importance,gain
torvik_barthag_diff,0.29668915,0
torvik_rank_diff,0.15678847,0
is_home,0.024591781,0
torvik_barthag_ratio,0.022935117,0
team_rank,0.010951571,0
team_barthag,0.010825615,0
is_neutral,0.010529365,0
is_conf_game,0.010366767,0
opp_barthag,0.009275527,0
torvik_adj_o_ratio,0.008153288,0
torvik_adj_d_ratio,0.008022419,0
torvik_adj_o_diff,0.008008593,0
team_adj_o,0.007926028,0
opp_rank,0.007716209,0
pregame_margin_projection,0.0076013734,0
team_off_eff_roll,0.0075250654,0
torvik_adj_d_diff,0.0072219176,0
team_winpct_roll,0.0071981354,0
team_expected_points,0.007133387,0
team_defensive_matchup,0.007106082,0
opp_off_eff_roll,0.0070088515,0
pregame_total_projection,0.006943512,0
team_offensive_matchup,0.006925085,0
opp_ORB_roll,0.006886273,0
opp_2P%_roll,0.0066917283,0
opp_3P%_roll,0.0066698077,0
opp_adj_d,0.006573544,0
team_def_eff_roll,0.006569904,0
opp_AST_roll,0.0065643606,0
team_TRB_roll,0.0065394565,0
expected_possessions,0.0065335147,0
opp_STL_roll,0.006527258,0
opp_TOV_roll,0.006507713,0
opp_adj_o,0.006507113,0
team_ORB_roll,0.0064957435,0
delta_pace_roll,0.006494554,0
opp_pace_roll,0.006457368,0
opp_3PA_roll,0.0064011696,0
opp_expected_points,0.0063788104,0
opp_winpct_roll,0.0063752825,0
team_pace_roll,0.0063609434,0
opp_def_eff_roll,0.0063522304,0
team_2P%_roll,0.006314975,0
team_eFG%_roll,0.0062973225,0
opp_eFG%_roll,0.0062947436,0
team_TOV_roll,0.00627412,0
team_AST_roll,0.00626465,0
opp_FT%_roll,0.006253051,0
opp_BLK_roll,0.0062046284,0
opp_2P_roll,0.0061970656,0
opp_TRB_roll,0.0061735585,0
opp_2PA_roll,0.0060864743,0
opp_DRB_roll,0.0060795774,0
team_adj_d,0.0060451673,0
opp_PF_roll,0.006021841,0
opp_FGA_roll,0.0060099545,0
team_matchup_advantage,0.0059810146,0
team_BLK_roll,0.005973158,0
opp_3P_roll,0.005961007,0
opp_points_roll,0.0059487913,0
team_STL_roll,0.005944789,0
opp_FG_roll,0.005942441,0
opp_FT_roll,0.0059132646,0
opp_FTA_roll,0.005909917,0
opp_FG%_roll,0.0058831377,0
team_3P%_roll,0.005850604,0
team_PF_roll,0.005840338,0
team_3PA_roll,0.005796945,0
team_FT_roll,0.0057721147,0
team_FTA_roll,0.0057093985,0
team_2PA_roll,0.005619512,0
team_2P_roll,0.005603345,0
team_FT%_roll,0.0056025907,0
team_DRB_roll,0.0055408766,0
team_FG%_roll,0.005302936,0
team_3P_roll,0.0051953183,0
team_FGA_roll,0.004980286,0
team_FG_roll,0.0046059955,0
prior_games,0.0038044527,0
team_points_roll,0.0034705643,0
