feature,importance,gain
expected_possessions,0.102939315,0
pregame_total_projection,0.08279042,0
team_adj_d,0.028093321,0
team_expected_points,0.025969408,0
opp_adj_d,0.024747057,0
team_defensive_matchup,0.017076135,0
opp_expected_points,0.016873661,0
team_offensive_matchup,0.016265087,0
team_rank,0.015018311,0
is_neutral,0.013998945,0
opp_pace_roll,0.013957164,0
opp_barthag,0.01178444,0
opp_rank,0.01160733,0
is_home,0.011104546,0
opp_points_roll,0.010751165,0
team_pace_roll,0.01073931,0
team_off_eff_roll,0.010625083,0
opp_FGA_roll,0.010535252,0
prior_games,0.010459706,0
opp_STL_roll,0.010445103,0
opp_3PA_roll,0.010344568,0
team_STL_roll,0.010280648,0
opp_adj_o,0.01023483,0
team_PF_roll,0.010043451,0
opp_FT%_roll,0.009901352,0
opp_3P_roll,0.00980768,0
team_barthag,0.009729066,0
opp_TOV_roll,0.009722929,0
team_3PA_roll,0.009700196,0
team_eFG%_roll,0.009616775,0
team_FT%_roll,0.00956571,0
opp_FTA_roll,0.00949027,0
team_def_eff_roll,0.009470963,0
opp_PF_roll,0.009436656,0
team_TRB_roll,0.009419969,0
team_TOV_roll,0.009404835,0
opp_winpct_roll,0.0094016185,0
torvik_adj_d_ratio,0.009368716,0
opp_off_eff_roll,0.009350991,0
opp_ORB_roll,0.009329147,0
opp_2PA_roll,0.009317891,0
team_matchup_advantage,0.0092508625,0
delta_pace_roll,0.009213122,0
opp_eFG%_roll,0.009190499,0
opp_TRB_roll,0.009189536,0
torvik_rank_diff,0.00913139,0
opp_BLK_roll,0.009122562,0
team_adj_o,0.009109413,0
opp_def_eff_roll,0.009108414,0
torvik_adj_o_ratio,0.009066341,0
team_2P%_roll,0.0090558585,0
opp_AST_roll,0.008979719,0
team_ORB_roll,0.0089711575,0
torvik_barthag_ratio,0.008964491,0
team_AST_roll,0.008949215,0
opp_FT_roll,0.008938931,0
opp_2P_roll,0.008929819,0
torvik_barthag_diff,0.008926338,0
team_BLK_roll,0.008923667,0
opp_DRB_roll,0.008863512,0
opp_FG%_roll,0.008825327,0
team_3P_roll,0.0088169435,0
team_winpct_roll,0.00877536,0
opp_2P%_roll,0.008759918,0
team_FTA_roll,0.008729412,0
pregame_margin_projection,0.008666373,0
team_points_roll,0.008607965,0
team_3P%_roll,0.008571666,0
team_2PA_roll,0.008559225,0
opp_3P%_roll,0.008554512,0
torvik_adj_o_diff,0.008551614,0
is_conf_game,0.008546799,0
opp_FG_roll,0.008478488,0
team_2P_roll,0.008472278,0
torvik_adj_d_diff,0.0084013,0
team_DRB_roll,0.008287074,0
team_FT_roll,0.008190715,0
team_FGA_roll,0.007994592,0
team_FG_roll,0.007877453,0
team_FG%_roll,0.0077291154,0
