date,game_id,team_a,team_b,chosen_side,chosen_team,chosen_odds,our_prob,implied_prob,edge,edge_bucket,zone,bet_amount,bet_won,profit,actual_winner
2024-12-21,abilene-christian_vs_texas southern_20241221,Team A,Team B,A,Team A,-470.0,0.84834224,0.8245614035087719,0.023780836491228086,0.020-0.025,Heavy Favorite (<-300),100,True,21.27659574468086,A
2025-02-20,abilene-christian_vs_southern utah_20250220,Team A,Team B,A,Team A,-310.0,0.75810266,0.7560975609756098,0.0020050990243902778,0.000-0.005,Heavy Favorite (<-300),100,True,32.258064516129025,A
2025-02-22,abilene-christian_vs_utah tech_20250222,Team A,Team B,A,Team A,-305.0,0.75619924,0.7530864197530864,0.003112820246913617,0.000-0.005,Heavy Favorite (<-300),100,True,32.78688524590163,A
2024-12-31,air-force_vs_unlv_20241231,Team A,Team B,B,Team B,-335.0,0.7949516,0.7701149425287356,0.0248366574712644,0.020-0.025,Heavy Favorite (<-300),100,True,29.850746268656714,B
2024-11-24,akron_vs_alabama state_20241124,Team A,Team B,A,Team A,-363.0,0.8060977,0.7840172786177105,0.022080421382289495,0.020-0.025,Heavy Favorite (<-300),100,True,27.548209366391198,A
2024-12-21,akron_vs_jackson state_20241221,Team A,Team B,A,Team A,-375.0,0.82770514,0.7894736842105263,0.03823145578947362,0.035-0.040,Heavy Favorite (<-300),100,True,26.66666666666666,A
2025-01-07,akron_vs_central michigan_20250107,Team A,Team B,A,Team A,-402.0,0.8396499,0.8007968127490039,0.03885308725099601,0.035-0.040,Heavy Favorite (<-300),100,True,24.87562189054726,A
2025-01-14,akron_vs_toledo_20250114,Team A,Team B,A,Team A,-337.0,0.78000796,0.7711670480549199,0.008840911945080077,0.005-0.010,Heavy Favorite (<-300),100,True,29.67359050445104,A
2025-01-25,akron_vs_miami (oh)_20250125,Team A,Team B,A,Team A,-355.0,0.78405195,0.7802197802197802,0.0038321697802198296,0.000-0.005,Heavy Favorite (<-300),100,True,28.169014084507047,A
2025-02-04,akron_vs_ball state_20250204,Team A,Team B,A,Team A,-1050.0,0.91309446,0.9130434782608695,5.098173913054005e-05,0.000-0.005,Heavy Favorite (<-300),100,True,9.523809523809534,A
2025-02-18,akron_vs_northern illinois_20250218,Team A,Team B,A,Team A,-2400.0,0.9674219,0.96,0.007421899999999981,0.005-0.010,Heavy Favorite (<-300),100,True,4.166666666666674,A
2025-03-07,akron_vs_buffalo_20250307,Team A,Team B,A,Team A,-2800.0,0.96781653,0.9655172413793104,0.0022992886206896213,0.000-0.005,Heavy Favorite (<-300),100,True,3.571428571428581,A
2025-03-14,akron_vs_toledo_20250314,Team A,Team B,A,Team A,-410.0,0.8464501,0.803921568627451,0.04252853137254897,0.040-0.045,Heavy Favorite (<-300),100,True,24.390243902439025,A
2025-02-25,alabama_vs_mississippi state_20250225,Team A,Team B,A,Team A,-411.0,0.8207188,0.8043052837573386,0.016413516242661408,0.015-0.020,Heavy Favorite (<-300),100,True,24.330900243308996,A
2025-03-14,alabama_vs_kentucky_20250314,Team A,Team B,A,Team A,-397.0,0.81310016,0.7987927565392354,0.014307403460764534,0.010-0.015,Heavy Favorite (<-300),100,True,25.188916876574297,A
2024-11-22,alabama-am_vs_south carolina state_20241122,Team A,Team B,A,Team A,105.0,0.5094669,0.4878048780487805,0.021662021951219468,0.020-0.025,Pick'em Underdog (+100 to +110),100,False,-100.0,B
2024-11-23,alabama-am_vs_coastal carolina_20241123,Team A,Team B,A,Team A,130.0,0.44307575,0.43478260869565216,0.008293141304347829,0.005-0.010,Slight Underdog (+110 to +150),100,True,129.99999999999997,A
2024-12-01,alabama-birmingham_vs_middle tennessee_20241201,Team A,Team B,A,Team A,-355.0,0.78078425,0.7802197802197802,0.000564469780219734,0.000-0.005,Heavy Favorite (<-300),100,False,-100.0,B
2024-12-15,alabama-birmingham_vs_arkansas state_20241215,Team A,Team B,B,Team B,144.0,0.42634684,0.4098360655737705,0.016510774426229502,0.015-0.020,Slight Underdog (+110 to +150),100,True,144.0,B
2025-01-07,alabama-birmingham_vs_tulane_20250107,Team A,Team B,A,Team A,-380.0,0.80451244,0.7916666666666666,0.012845773333333366,0.010-0.015,Heavy Favorite (<-300),100,True,26.315789473684205,A
2025-02-03,alabama-birmingham_vs_north texas_20250203,Team A,Team B,B,Team B,133.0,0.45695317,0.4291845493562232,0.02776862064377683,0.025-0.030,Slight Underdog (+110 to +150),100,False,-100.0,A
2024-12-29,albany-ny_vs_stony brook_20241229,Team A,Team B,A,Team A,-410.0,0.83060753,0.803921568627451,0.026685961372548972,0.025-0.030,Heavy Favorite (<-300),100,True,24.390243902439025,A
2025-01-16,albany-ny_vs_bryant_20250116,Team A,Team B,A,Team A,136.0,0.43324405,0.423728813559322,0.009515236440677977,0.005-0.010,Slight Underdog (+110 to +150),100,False,-100.0,B
