date,game_id,team_a,team_b,chosen_side,chosen_team,chosen_odds,our_prob,implied_prob,edge,edge_bucket,odds_bucket,zone,bet_amount,bet_won,profit,actual_winner
2025-02-20,abilene-christian_vs_southern utah_20250220,Team A,Team B,A,Team A,-310.0,0.7883336,0.7560975609756098,0.032236039024390206,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,32.258064516129025,A
2025-02-22,abilene-christian_vs_utah tech_20250222,Team A,Team B,A,Team A,-305.0,0.820874,0.7530864197530864,0.06778758024691356,0.065-0.070,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,32.78688524590163,A
2024-12-31,air-force_vs_unlv_20241231,Team A,Team B,B,Team B,-335.0,0.80322723,0.7701149425287356,0.03311228747126438,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,29.850746268656714,B
2024-11-24,akron_vs_alabama state_20241124,Team A,Team B,A,Team A,-363.0,0.8306791,0.7840172786177105,0.04666182138228947,0.045-0.050,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,27.548209366391198,A
2024-12-21,akron_vs_jackson state_20241221,Team A,Team B,A,Team A,-375.0,0.8698377,0.7894736842105263,0.08036401578947372,0.080-0.085,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,26.66666666666666,A
2025-01-14,akron_vs_toledo_20250114,Team A,Team B,A,Team A,-337.0,0.7970386,0.7711670480549199,0.025871551945080173,0.025-0.030,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,29.67359050445104,A
2025-03-14,akron_vs_toledo_20250314,Team A,Team B,A,Team A,-410.0,0.8828651,0.803921568627451,0.07894353137254895,0.075-0.080,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.390243902439025,A
2025-02-25,alabama_vs_mississippi state_20250225,Team A,Team B,A,Team A,-411.0,0.8448937,0.8043052837573386,0.04058841624266141,0.040-0.045,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.330900243308996,A
2025-02-08,alabama-am_vs_southern_20250208,Team A,Team B,B,Team B,-345.0,0.79729722,0.7752808988764045,0.022016321123595528,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,28.985507246376805,B
2025-02-16,alabama-birmingham_vs_south florida_20250216,Team A,Team B,A,Team A,-410.0,0.8518925,0.803921568627451,0.04797093137254904,0.045-0.050,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.390243902439025,A
2025-01-29,appalachian-state_vs_old dominion_20250129,Team A,Team B,A,Team A,-657.0,0.89997053,0.8678996036988111,0.03207092630118891,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,B
2025-02-01,appalachian-state_vs_georgia state_20250201,Team A,Team B,A,Team A,-722.0,0.9074143,0.878345498783455,0.02906880121654498,0.025-0.030,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,13.850415512465375,A
2025-02-05,appalachian-state_vs_southern mississippi_20250205,Team A,Team B,A,Team A,-400.0,0.81671757,0.8,0.01671756999999996,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,25.0,A
2025-02-20,appalachian-state_vs_georgia southern_20250220,Team A,Team B,A,Team A,-410.0,0.8144762,0.803921568627451,0.010554631372548973,0.010-0.015,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.390243902439025,A
2024-12-14,arizona-state_vs_florida_20241214,Team A,Team B,B,Team B,-318.0,0.78595859,0.7607655502392344,0.02519303976076559,0.025-0.030,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,31.446540880503136,B
2024-12-21,arizona-state_vs_massachusetts_20241221,Team A,Team B,A,Team A,-470.0,0.88547355,0.8245614035087719,0.060912146491228114,0.060-0.065,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,21.27659574468086,A
2024-11-29,arkansas-state_vs_indiana state_20241129,Team A,Team B,A,Team A,-404.0,0.8470718,0.8015873015873016,0.045484498412698415,0.045-0.050,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.752475247524753,A
2024-12-12,arkansas-state_vs_ut arlington_20241212,Team A,Team B,A,Team A,-360.0,0.82017565,0.782608695652174,0.03756695434782609,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,27.777777777777768,A
2025-01-14,auburn_vs_mississippi state_20250114,Team A,Team B,A,Team A,-340.0,0.82903796,0.7727272727272727,0.056310687272727256,0.055-0.060,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,29.41176470588236,A
2025-02-24,austin-peay_vs_lipscomb_20250224,Team A,Team B,B,Team B,-325.0,0.80953951,0.7647058823529411,0.044833627647058893,0.040-0.045,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,30.76923076923077,B
2025-01-22,baylor_vs_kansas state_20250122,Team A,Team B,A,Team A,-808.0,0.9176019,0.8898678414096917,0.027734058590308308,0.025-0.030,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,12.376237623762387,A
2025-01-09,bellarmine_vs_jacksonville_20250109,Team A,Team B,B,Team B,-325.0,0.78149655,0.7647058823529411,0.016790667647058832,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,30.76923076923077,B
2025-02-13,bellarmine_vs_queens (nc)_20250213,Team A,Team B,B,Team B,-334.0,0.80163881,0.7695852534562212,0.03205355654377884,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,29.940119760479035,B
2025-03-08,belmont_vs_drake_20250308,Team A,Team B,B,Team B,-343.0,0.7940029200000001,0.7742663656884876,0.019736554311512444,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,29.154518950437325,B
2025-01-29,boise-state_vs_nevada_20250129,Team A,Team B,A,Team A,-350.0,0.7899552,0.7777777777777778,0.012177422222222178,0.010-0.015,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,28.57142857142856,A
2025-01-15,bradley_vs_indiana state_20250115,Team A,Team B,A,Team A,-375.0,0.85142726,0.7894736842105263,0.06195357578947369,0.060-0.065,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,26.66666666666666,A
2025-02-05,bradley_vs_belmont_20250205,Team A,Team B,A,Team A,-360.0,0.7956843,0.782608695652174,0.013075604347826064,0.010-0.015,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,B
2025-02-22,bradley_vs_murray state_20250222,Team A,Team B,A,Team A,-305.0,0.80014634,0.7530864197530864,0.04705992024691352,0.045-0.050,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,32.78688524590163,A
2025-01-25,brigham-young_vs_cincinnati_20250125,Team A,Team B,A,Team A,-310.0,0.7910106,0.7560975609756098,0.03491303902439025,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,32.258064516129025,A
2025-02-15,brigham-young_vs_kansas state_20250215,Team A,Team B,A,Team A,-330.0,0.80259013,0.7674418604651163,0.0351482695348837,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,30.303030303030297,A
2024-11-15,brown_vs_new hampshire_20241115,Team A,Team B,A,Team A,-360.0,0.8805963,0.782608695652174,0.09798760434782605,0.095-0.100,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,27.777777777777768,A
2024-11-16,brown_vs_holy cross_20241116,Team A,Team B,A,Team A,-345.0,0.84377766,0.7752808988764045,0.06849676112359548,0.065-0.070,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,B
2024-11-17,brown_vs_sacred heart_20241117,Team A,Team B,A,Team A,-420.0,0.8292219,0.8076923076923077,0.021529592307692247,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,23.809523809523814,A
2024-12-04,bucknell_vs_st. bonaventure_20241204,Team A,Team B,B,Team B,-350.0,0.78993453,0.7777777777777778,0.012156752222222234,0.010-0.015,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,28.57142857142856,B
2025-01-10,buffalo_vs_kent state_20250110,Team A,Team B,B,Team B,-625.0,0.9004970800000001,0.8620689655172413,0.038428114482758735,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,15.999999999999993,B
2025-03-04,buffalo_vs_miami (oh)_20250304,Team A,Team B,B,Team B,-400.0,0.8376143,0.8,0.03761429999999999,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,25.0,B
2025-01-30,california-baptist_vs_abilene christian_20250130,Team A,Team B,A,Team A,-310.0,0.79271036,0.7560975609756098,0.036612799024390186,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,32.258064516129025,A
2025-03-06,california-baptist_vs_tarleton state_20250306,Team A,Team B,A,Team A,-376.0,0.8232695,0.7899159663865546,0.033353533613445396,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,26.595744680851062,A
2024-11-28,california-irvine_vs_kennesaw state_20241128,Team A,Team B,A,Team A,-475.0,0.8464531,0.8260869565217391,0.020366143478260823,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,21.052631578947366,A
2025-02-08,california-riverside_vs_cal state bakersfield_20250208,Team A,Team B,A,Team A,-330.0,0.83334315,0.7674418604651163,0.06590128953488372,0.065-0.070,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,30.303030303030297,A
2025-02-20,california-riverside_vs_long beach state_20250220,Team A,Team B,A,Team A,-675.0,0.8916159,0.8709677419354839,0.020648158064516142,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,14.814814814814813,A
2024-11-06,california-san-diego_vs_san diego state_20241106,Team A,Team B,B,Team B,-626.0,0.87902148,0.8622589531680441,0.016762526831955893,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,15.974440894568698,B
2024-12-17,california-san-diego_vs_utah state_20241217,Team A,Team B,B,Team B,-506.0,0.93260438,0.834983498349835,0.09762088165016503,0.095-0.100,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,A
2025-02-01,california-santa-barbara_vs_long beach state_20250201,Team A,Team B,A,Team A,-450.0,0.83736616,0.8181818181818182,0.019184341818181738,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,22.222222222222232,A
2024-11-24,central-arkansas_vs_unc asheville_20241124,Team A,Team B,B,Team B,-338.0,0.80100922,0.771689497716895,0.029319722283104976,0.025-0.030,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,A
2025-02-22,central-connecticut-state_vs_stonehill_20250222,Team A,Team B,A,Team A,-400.0,0.81563556,0.8,0.015635559999999993,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,25.0,A
2024-12-01,central-florida_vs_california baptist_20241201,Team A,Team B,A,Team A,-525.0,0.86166775,0.84,0.021667749999999986,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,19.047619047619047,A
2025-02-01,chattanooga_vs_mercer_20250201,Team A,Team B,A,Team A,-340.0,0.82571214,0.7727272727272727,0.05298486727272733,0.050-0.055,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,29.41176470588236,A
2025-02-13,coastal-carolina_vs_appalachian state_20250213,Team A,Team B,B,Team B,-410.0,0.87569955,0.803921568627451,0.07177798137254898,0.070-0.075,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.390243902439025,B
2024-12-28,columbia_vs_fairfield_20241228,Team A,Team B,A,Team A,-472.0,0.8472667,0.8251748251748252,0.02209187482517483,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,21.18644067796609,A
2025-01-18,connecticut_vs_creighton_20250118,Team A,Team B,A,Team A,-345.0,0.8103994,0.7752808988764045,0.03511850112359549,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,B
2025-02-01,cornell_vs_harvard_20250201,Team A,Team B,A,Team A,-475.0,0.84833527,0.8260869565217391,0.02224831347826084,0.020-0.025,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,21.052631578947366,A
2025-02-28,cornell_vs_pennsylvania_20250228,Team A,Team B,A,Team A,-410.0,0.8372672,0.803921568627451,0.03334563137254898,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.390243902439025,A
2025-03-08,cornell_vs_columbia_20250308,Team A,Team B,A,Team A,-550.0,0.8883027,0.8461538461538461,0.042148853846153855,0.040-0.045,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,18.181818181818187,A
2025-01-11,davidson_vs_fordham_20250111,Team A,Team B,A,Team A,-450.0,0.8537267,0.8181818181818182,0.03554488181818172,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,22.222222222222232,A
2025-01-11,denver_vs_north dakota state_20250111,Team A,Team B,B,Team B,-500.0,0.88490591,0.8333333333333334,0.05157257666666659,0.050-0.055,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,19.999999999999996,B
2025-02-08,denver_vs_st. thomas_20250208,Team A,Team B,B,Team B,-525.0,0.8790941,0.84,0.03909410000000002,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,19.047619047619047,B
2025-03-01,denver_vs_south dakota state_20250301,Team A,Team B,B,Team B,-375.0,0.8189653,0.7894736842105263,0.02949161578947368,0.025-0.030,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,A
2025-01-18,detroit-mercy_vs_oakland_20250118,Team A,Team B,B,Team B,-450.0,0.8372999999999999,0.8181818181818182,0.0191181818181817,0.015-0.020,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,22.222222222222232,B
2025-02-20,dixie-state_vs_utah valley_20250220,Team A,Team B,B,Team B,-323.0,0.8002845199999999,0.7635933806146572,0.03669113938534274,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,30.959752321981426,B
2024-12-29,drake_vs_belmont_20241229,Team A,Team B,A,Team A,-402.0,0.83540523,0.8007968127490039,0.03460841725099606,0.030-0.035,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,24.87562189054726,A
2025-01-05,drake_vs_murray state_20250105,Team A,Team B,A,Team A,-500.0,0.8776602,0.8333333333333334,0.04432686666666663,0.040-0.045,Heavy Favorite (<-300),Heavy Favorite (<-300),100,False,-100.0,B
2025-01-29,drake_vs_northern iowa_20250129,Team A,Team B,A,Team A,-325.0,0.8015041,0.7647058823529411,0.03679821764705893,0.035-0.040,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,30.76923076923077,A
2025-03-14,duke_vs_north carolina_20250314,Team A,Team B,A,Team A,-310.0,0.8446081,0.7560975609756098,0.08851053902439021,0.085-0.090,Heavy Favorite (<-300),Heavy Favorite (<-300),100,True,32.258064516129025,A
