date,game_id,team_a,team_b,chosen_side,chosen_team,chosen_odds,our_prob,implied_prob,edge,edge_bucket,zone,bankroll_before,kelly_fraction,bet_amount,bet_won,profit,bankroll_after,actual_winner
2024-11-06,rider_vs_san diego_20241106,Team A,Team B,A,Team A,145.0,0.44862068,0.40816326530612246,0.040457414693877536,0.040-0.045,Slight Underdog (+110 to +150),10000.0,0.06835908,683.5908000000001,True,991.2066600000002,10991.20666,A
2024-11-06,villanova_vs_columbia_20241106,Team A,Team B,A,Team A,-1698.0,0.94791424,0.9443826473859844,0.0035315926140155884,0.000-0.005,Heavy Favorite (<-300),10991.20666,0.0634980352,697.9200273871544,False,-697.9200273871544,10293.286632612846,B
2024-11-06,california-san-diego_vs_san diego state_20241106,Team A,Team B,B,Team B,-626.0,0.8778855,0.8622589531680441,0.015626546831955856,0.015-0.020,Heavy Favorite (<-300),10293.286632612846,0.1134487300000003,1167.760295995907,True,186.54317827410662,10479.829810886953,B
2024-11-14,nevada-las-vegas_vs_omaha_20241114,Team A,Team B,A,Team A,-1849.0,0.9499025,0.9486916367367881,0.0012108632632118477,0.000-0.005,Heavy Favorite (<-300),10479.829810886953,0.02359972499999866,247.32110158372004,True,13.375938430704151,10493.205749317658,A
2024-11-14,iupui_vs_eastern michigan_20241114,Team A,Team B,B,Team B,142.0,0.45860725999999996,0.4132231404958678,0.04538411950413218,0.045-0.050,Slight Underdog (+110 to +150),10493.205749317658,0.07734476704225343,811.5945542074086,True,1152.4642669745201,11645.670016292179,B
2024-11-14,northern-colorado_vs_south dakota state_20241114,Team A,Team B,A,Team A,140.0,0.46011558,0.4166666666666667,0.04344891333333334,0.040-0.045,Slight Underdog (+110 to +150),11645.67001629218,0.07448385142857149,867.4143552796763,True,1214.3800973915468,12860.050113683727,A
2024-11-15,manhattan_vs_fordham_20241115,Team A,Team B,B,Team B,-360.0,0.79131074,0.782608695652174,0.008702044347826066,0.005-0.010,Heavy Favorite (<-300),12860.050113683727,0.04002940399999982,514.7801414608895,False,-514.7801414608895,12345.269972222837,A
2024-11-15,holy-cross_vs_sacred heart_20241115,Team A,Team B,A,Team A,120.0,0.45777062,0.45454545454545453,0.0032251654545454866,0.000-0.005,Slight Underdog (+110 to +150),12345.269972222837,0.005912803333333419,72.99515344266015,True,87.5941841311922,12432.86415635403,A
2024-11-15,brown_vs_new hampshire_20241115,Team A,Team B,A,Team A,-360.0,0.8098712,0.782608695652174,0.027262504347826066,0.025-0.030,Heavy Favorite (<-300),12432.86415635403,0.12540751999999983,1559.1746603452489,True,433.1040723181245,12865.968228672155,A
2024-11-15,oregon-state_vs_cal state fullerton_20241115,Team A,Team B,A,Team A,-900.0,0.9058749,0.9,0.005874900000000016,0.005-0.010,Heavy Favorite (<-300),12865.968228672155,0.05874900000000073,755.8627674662698,True,83.98475194069668,12949.95298061285,A
2024-11-16,bradley_vs_northern illinois_20241116,Team A,Team B,A,Team A,-2200.0,0.96605945,0.9565217391304348,0.00953771086956523,0.005-0.010,Heavy Favorite (<-300),12949.95298061285,0.21936735000000024,2840.7968679816454,True,129.12713036280195,13079.080110975652,A
2024-11-16,east-carolina_vs_george mason_20241116,Team A,Team B,A,Team A,145.0,0.44853818,0.40816326530612246,0.04037491469387755,0.040-0.045,Slight Underdog (+110 to +150),13079.080110975652,0.0682196834482759,892.2507049654002,True,1293.7635221998305,14372.843633175482,A
2024-11-16,detroit-mercy_vs_toledo_20241116,Team A,Team B,B,Team B,-638.0,0.8709129,0.8644986449864499,0.006414255013550085,0.005-0.010,Heavy Favorite (<-300),14372.843633175482,0.04733720199999953,680.370202378035,True,106.64109755141608,14479.484730726897,B
2024-11-16,brown_vs_holy cross_20241116,Team A,Team B,A,Team A,-345.0,0.7762751,0.7752808988764045,0.000994201123595495,0.000-0.005,Heavy Favorite (<-300),14479.484730726897,0.00442419499999982,64.06006394825569,False,-64.06006394825569,14415.424666778641,B
2024-11-16,bucknell_vs_richmond_20241116,Team A,Team B,A,Team A,145.0,0.44009867,0.40816326530612246,0.03193540469387757,0.030-0.035,Slight Underdog (+110 to +150),14415.42466677864,0.05395982172413805,777.8537450971177,True,1127.8879303908207,15543.31259716946,A
