date,game_id,team_a,team_b,bet_spread,pred_margin,true_margin,betting_team_a,bet_on,edge,prob_cover,edge_bucket,margin_bucket,spread_bucket,bet_risked,bet_won,profit
2024-11-16,abilene-christian_vs_texas state_20241116,abilene-christian,Texas State,-2.0,-1.0498895049095154,12.0,True,abilene-christian,0.010080519560023538,0.5338805195600236,0.010-0.015,0.0-2.0,Pick'em (< 3),110,False,-110.0
2024-11-25,abilene-christian_vs_southern mississippi_20241125,abilene-christian,Southern Mississippi,-3.0,0.4231512546539306,8.0,True,abilene-christian,0.09607592107621943,0.6198759210762195,0.095-0.100,0.0-2.0,Small (3-7),110,True,100.0
2024-12-21,abilene-christian_vs_texas southern_20241221,abilene-christian,Texas Southern,-9.0,1.041839599609375,4.0,True,abilene-christian,0.28380903780521416,0.8076090378052142,0.280-0.285,0.0-2.0,Medium (7-12),110,False,-110.0
2024-12-31,abilene-christian_vs_stephen f. austin_20241231,abilene-christian,Stephen F. Austin,-3.5,-1.4984524250030518,-5.0,True,abilene-christian,0.047200753770207826,0.5710007537702079,0.045-0.050,0.0-2.0,Small (3-7),110,True,100.0
2025-01-23,abilene-christian_vs_tarleton state_20250123,abilene-christian,Tarleton State,-4.0,2.947786331176758,11.0,True,abilene-christian,0.20578950631727466,0.7295895063172747,0.205-0.210,2.0-4.0,Small (3-7),110,True,100.0
2025-01-25,abilene-christian_vs_ut arlington_20250125,abilene-christian,UT Arlington,-1.0,0.428360104560852,-3.0,True,abilene-christian,0.027036592929206793,0.5508365929292068,0.025-0.030,0.0-2.0,Pick'em (< 3),110,False,-110.0
2025-02-20,abilene-christian_vs_southern utah_20250220,abilene-christian,Southern Utah,-7.0,0.2195768356323242,16.0,True,abilene-christian,0.21338104832608218,0.7371810483260822,0.210-0.215,0.0-2.0,Medium (7-12),110,True,100.0
2025-02-22,abilene-christian_vs_utah tech_20250222,abilene-christian,Utah Tech,-7.0,0.5077090263366699,8.0,True,abilene-christian,0.22127772763693132,0.7450777276369314,0.220-0.225,0.0-2.0,Medium (7-12),110,True,100.0
2024-11-24,air-force_vs_mercyhurst_20241124,air-force,Mercyhurst,-9.0,-1.1880426406860352,34.0,True,air-force,0.22944487173695027,0.7532448717369503,0.225-0.230,0.0-2.0,Medium (7-12),110,False,-110.0
2024-11-27,air-force_vs_sacramento state_20241127,air-force,Sacramento State,-6.5,-1.5139260292053225,-2.0,True,air-force,0.14710835540555,0.67090835540555,0.145-0.150,0.0-2.0,Small (3-7),110,True,100.0
2024-12-07,air-force_vs_stony brook_20241207,air-force,Stony Brook,-5.5,-1.6438729763031006,8.0,True,air-force,0.11053864091939913,0.6343386409193992,0.110-0.115,0.0-2.0,Small (3-7),110,False,-110.0
2024-11-22,akron_vs_lamar_20241122,akron,Lamar,-10.0,0.0220022201538085,7.0,True,akron,0.2833683301824258,0.8071683301824258,0.280-0.285,0.0-2.0,Medium (7-12),110,False,-110.0
2024-11-23,akron_vs_omaha_20241123,akron,Omaha,-12.0,3.1888113021850586,8.0,True,akron,0.3737073467779204,0.8975073467779204,0.370-0.375,2.0-4.0,Large (12-20),110,False,-110.0
2024-11-24,akron_vs_alabama state_20241124,akron,Alabama State,-8.0,1.8760852813720703,19.0,True,akron,0.2801030229439868,0.8039030229439869,0.280-0.285,0.0-2.0,Medium (7-12),110,True,100.0
2024-12-03,akron_vs_northern kentucky_20241203,akron,Northern Kentucky,-7.0,0.8295373916625977,13.0,True,akron,0.22991136743792318,0.7537113674379232,0.225-0.230,0.0-2.0,Medium (7-12),110,True,100.0
2024-12-15,akron_vs_milwaukee_20241215,akron,Milwaukee,1.0,5.4904632568359375,-19.0,True,akron,0.13129127290212073,0.6550912729021208,0.130-0.135,4.0-6.0,Pick'em (< 3),110,False,-110.0
2024-12-21,akron_vs_jackson state_20241221,akron,Jackson State,-8.5,5.729884147644043,18.0,True,akron,0.36040223990006115,0.8842022399000612,0.360-0.365,4.0-6.0,Medium (7-12),110,True,100.0
2025-01-07,akron_vs_central michigan_20250107,akron,Central Michigan,-8.5,-1.5988774299621582,16.0,True,akron,0.20447231940444477,0.7282723194044448,0.200-0.205,0.0-2.0,Medium (7-12),110,False,-110.0
2025-01-14,akron_vs_toledo_20250114,akron,Toledo,-7.5,-0.6891365051269531,7.0,True,akron,0.2019131757366629,0.7257131757366629,0.200-0.205,0.0-2.0,Medium (7-12),110,True,100.0
2025-01-17,akron_vs_ohio_20250117,akron,Ohio,-3.5,0.0328373908996582,12.0,True,akron,0.09976111178577995,0.62356111178578,0.095-0.100,0.0-2.0,Small (3-7),110,True,100.0
2025-01-25,akron_vs_miami (oh)_20250125,akron,Miami (OH),-8.0,-2.9109630584716797,27.0,True,akron,0.15034775759957808,0.6741477575995781,0.150-0.155,2.0-4.0,Medium (7-12),110,False,-110.0
2025-02-04,akron_vs_ball state_20250204,akron,Ball State,-13.0,1.9019708633422852,8.0,True,akron,0.3698760687054805,0.8936760687054806,0.365-0.370,0.0-2.0,Large (12-20),110,False,-110.0
2025-02-08,akron_vs_south alabama_20250208,akron,South Alabama,-7.0,-1.2773470878601074,13.0,True,akron,0.169910043435598,0.6937100434355981,0.165-0.170,0.0-2.0,Medium (7-12),110,False,-110.0
2025-02-18,akron_vs_northern illinois_20250218,akron,Northern Illinois,-19.5,4.143768310546875,10.0,True,akron,0.44319968896953976,0.9669996889695398,0.440-0.445,4.0-6.0,Large (12-20),110,False,-110.0
2025-02-28,akron_vs_kent state_20250228,akron,Kent State,-3.5,0.6221780776977539,5.0,True,akron,0.11930871718626546,0.6431087171862655,0.115-0.120,0.0-2.0,Small (3-7),110,True,100.0
2025-03-07,akron_vs_buffalo_20250307,akron,Buffalo,-18.5,3.650232315063477,18.0,True,akron,0.4356692336841289,0.959469233684129,0.435-0.440,2.0-4.0,Large (12-20),110,False,-110.0
2025-03-13,akron_vs_bowling green_20250313,akron,Bowling Green,-11.5,0.0067605972290039,29.0,True,akron,0.3142544548288456,0.8380544548288457,0.310-0.315,0.0-2.0,Medium (7-12),110,True,100.0
2025-03-14,akron_vs_toledo_20250314,akron,Toledo,-8.5,1.257368087768555,10.0,True,akron,0.27741567529395816,0.8012156752939582,0.275-0.280,0.0-2.0,Medium (7-12),110,True,100.0
2025-03-15,akron_vs_miami (oh)_20250315,akron,Miami (OH),-7.0,-2.927123546600342,2.0,True,akron,0.11769056380331089,0.6414905638033109,0.115-0.120,2.0-4.0,Medium (7-12),110,True,100.0
2024-11-20,alabama_vs_illinois_20241120,alabama,Illinois,-8.5,-4.577367782592773,13.0,True,alabama,0.11273954214750193,0.636539542147502,0.110-0.115,4.0-6.0,Medium (7-12),110,False,-110.0
