date,game_id,team_a,team_b,bet_line,pred_total,true_total,line_margin,total_points_bucket,line_margin_bucket,bet_side,chosen_odds,edge,edge_abs,edge_bucket,zone,bet_amount,bet_won,profit
2024-11-16,abilene-christian_vs_texas state_20241116,abilene-christian,Texas State,138.5,151.12215,132.0,-6.5,130-140,5-10 (Close),Over,-110,12.622150000000005,12.622150000000005,12.0-14.0,Huge Edge (8+ pts),100,False,-100.0
2024-11-25,abilene-christian_vs_southern mississippi_20241125,abilene-christian,Southern Mississippi,149.0,159.68408,156.0,7.0,150-160,5-10 (Close),Over,-110,10.684079999999994,10.684079999999994,10.0-12.0,Huge Edge (8+ pts),100,True,90.90909090909092
2024-12-21,abilene-christian_vs_texas southern_20241221,abilene-christian,Texas Southern,144.5,149.49493,134.0,-10.5,130-140,10-15 (Moderate),Over,-110,4.994930000000011,4.994930000000011,4.0-6.0,Medium Edge (4-6 pts),100,False,-100.0
2024-12-31,abilene-christian_vs_stephen f. austin_20241231,abilene-christian,Stephen F. Austin,134.0,136.09227,119.0,-15.0,Under 120,15-20 (Far),Over,-110,2.0922700000000134,2.0922700000000134,2.0-4.0,Small Edge (2-4 pts),100,False,-100.0
2025-01-18,abilene-christian_vs_california baptist_20250118,abilene-christian,California Baptist,140.0,147.12088,114.0,-26.0,Under 120,20+ (Very Far),Over,-110,7.12088,7.12088,6.0-8.0,Large Edge (6-8 pts),100,False,-100.0
2025-01-23,abilene-christian_vs_tarleton state_20250123,abilene-christian,Tarleton State,129.0,131.54318,123.0,-6.0,120-130,5-10 (Close),Over,-110,2.5431800000000067,2.5431800000000067,2.0-4.0,Small Edge (2-4 pts),100,False,-100.0
2025-01-25,abilene-christian_vs_ut arlington_20250125,abilene-christian,UT Arlington,144.0,144.50533,155.0,11.0,150-160,10-15 (Moderate),Over,-110,0.5053299999999865,0.5053299999999865,0.0-2.0,Tiny Edge (0-2 pts),100,True,90.90909090909092
2025-02-13,abilene-christian_vs_seattle_20250213,abilene-christian,Seattle,137.5,139.8757,134.0,-3.5,130-140,0-5 (Very Close),Over,-110,2.375699999999995,2.375699999999995,2.0-4.0,Small Edge (2-4 pts),100,False,-100.0
2025-02-20,abilene-christian_vs_southern utah_20250220,abilene-christian,Southern Utah,142.5,143.1476,134.0,-8.5,130-140,5-10 (Close),Over,-110,0.6476000000000113,0.6476000000000113,0.0-2.0,Tiny Edge (0-2 pts),100,False,-100.0
2025-02-22,abilene-christian_vs_utah tech_20250222,abilene-christian,Utah Tech,145.5,144.91333,152.0,6.5,150-160,5-10 (Close),Under,-110,-0.586669999999998,0.586669999999998,0.0-2.0,Tiny Edge (0-2 pts),100,False,-100.0
